question	réponse	tags
Qu'est-ce qu'un vnode ? Que contient-il ?	Un vnode (virtual node) est la représentation abstraite d'un objet fichier/répertoire dans le VFS. Il contient : type (fichier, répertoire, device…), état de cache, verrou, et un pointeur vers les opérations spécifiques au FS (v_op, table de vops). Source : sys/sys/vnode.h.	ch02
Qu'est-ce qu'un mbuf ? Pourquoi utiliser des chaînes de mbufs ?	Un mbuf (memory buffer) est la structure de base de la pile réseau FreeBSD pour stocker les données de paquets. Les mbufs sont chaînés via m_next pour représenter des paquets de taille variable sans copie. Avantage : ajout/suppression d'en-têtes sans copier les données (prepend/append).	ch02
Qu'est-ce que la VM de FreeBSD ? Quelles en sont les structures clés ?	Système de mémoire virtuelle hérité de Mach. Structures clés : vm_map (espace d'adressage d'un processus), vm_map_entry (plage d'adresses virtuelles), vm_object (source de données : fichier ou anonyme), vm_page (page physique). Source : sys/vm/.	ch02
Qu'est-ce que le Copy-On-Write (COW) dans le contexte de fork() ?	Après fork(), père et fils partagent les mêmes pages physiques en lecture seule (mappées RO). La copie physique n'a lieu que lorsque l'un des deux tente d'écrire dans une page partagée (faute de page → vm_fault → copie → remapping RW). Rend fork() très rapide.	ch02
Qu'est-ce que la pagination à la demande (demand paging) ?	Stratégie où les pages virtuelles ne sont pas chargées en RAM au démarrage du processus. Une accès à une page non présente déclenche une faute de page que le noyau résout en chargeant la page depuis le fichier backing ou en allouant une page zéro. Source : sys/vm/vm_fault.c.	ch02
Qu'est-ce qu'un socket FreeBSD ? Quelle structure le représente ?	Un socket est un endpoint de communication bidirectionnel. Représenté par struct socket (sys/sys/socketvar.h) contenant : so_type (SOCK_STREAM/DGRAM), so_state, so_rcv et so_snd (sockbufs), so_proto (pointeur vers protosw TCP/UDP), file d'attente des connexions.	ch02
Qu'est-ce qu'un sockbuf (so_rcv / so_snd) ?	Buffer d'envoi ou de réception d'un socket. Contient une chaîne de mbufs (sb_mb), des compteurs de données présentes (sb_cc), et des limites de taille (sb_hiwat). Le noyau bloque l'émetteur si sb_cc >= sb_hiwat (contrôle de flux interne). Source : sys/sys/socketvar.h.	ch02
Qu'est-ce que kqueue/kevent ? En quoi est-ce supérieur à select/poll ?	kqueue est le mécanisme de notification d'événements scalable de FreeBSD/macOS. Un seul appel système (kevent()) surveille N descripteurs. Complexité O(1) par événement vs O(N) pour select/poll. kevent est la structure décrivant un événement (fd, filtre EVFILT_READ/WRITE, flags).	ch02
Qu'est-ce que truss sous FreeBSD ? À quoi sert-il ?	truss trace les appels système d'un processus en temps réel : numéro de syscall, arguments, valeur de retour, erreur. Équivalent de strace sur Linux. Exemple : truss ./mon_serveur pour voir tous les socket/bind/accept/recv/send.	ch02
Qu'est-ce que ktrace / kdump sous FreeBSD ?	ktrace trace les événements noyau (syscalls, signaux, E/S, appels noyau) vers un fichier binaire (ktrace.out). kdump décode et affiche ce fichier. Plus léger que truss car l'affichage est différé. Utile pour analyser un programme sans le ralentir trop.	ch02
Qu'est-ce que l'ordonnanceur ULE (sched_ule) dans FreeBSD ?	Ordonnanceur par défaut de FreeBSD depuis la 5.x. Préemptif multi-niveaux : timesharing (threads normaux) + real-time (SCHED_FIFO/RR). Conscient de la topologie CPU (NUMA, SMP) : chaque CPU a sa run queue. Rééquilibrage inter-CPU périodique. Source : sys/kern/sched_ule.c.	ch02
Qu'est-ce que Capsicum dans FreeBSD ?	Modèle de sécurité à capacités. cap_enter() met le processus en mode capacité : il ne peut plus accéder à des ressources globales (open, socket…), seulement aux descripteurs déjà ouverts avec des droits explicitement limités (cap_rights_limit()). Source : sys/kern/sys_capability.c.	ch02
Qu'est-ce qu'un jail FreeBSD ? En quoi diffère-t-il d'un chroot ?	Un jail isole un ensemble de processus dans un sous-arbre FS + interfaces réseau propres + limites système. Plus fort qu'un chroot (qui n'isole que le FS et peut être escaped) : un processus en jail ne peut pas en sortir via des appels système normaux.	ch02
Qu'est-ce que UMA (Universal Memory Allocator) dans FreeBSD ?	Allocateur slab du noyau FreeBSD. Gère des « zones » d'objets de taille fixe pré-alloués (mbufs, vnodes, pcb TCP…). Allocation O(1) via une liste libre par CPU (pcpu cache). Réduit la fragmentation et évite les verrous globaux. Source : sys/vm/uma_core.c.	ch02
Qu'est-ce que la table sysent[] dans FreeBSD ?	Table de dispatch des appels système. Indexée par le numéro de syscall, chaque entrée contient un pointeur vers le handler noyau, le nombre d'arguments, et des flags. Déclarée dans sys/kern/syscalls.master et générée automatiquement.	ch02
